locality,bhk,area_sqft,furnishing,floor,total_floors,building_age_yrs,tenant_preferred,gym,swimming_pool,power_backup,lift,security,parking,club_house,dist_metro_km,dist_techpark_km,monthly_rent
Marathahalli,2,990,Semi-Furnished,2,7,15,Any,0,0,0,0,0,1,1,3.6,0.6,24000
Hennur,2,958,Fully Furnished,2,10,10,Family,0,0,1,1,0,0,0,4.3,6.3,17000
Mahadevapura,3,1425,Unfurnished,1,15,10,Bachelor,0,1,0,1,0,1,0,3.5,1.5,25000
Sadashivanagar,1,567,Unfurnished,5,7,3,Any,1,1,1,1,0,1,0,3.5,6.8,37000
BTM Layout,2,933,Unfurnished,1,3,10,Family,0,0,0,0,1,0,0,2.5,2.1,24000
HSR Layout,2,1020,Unfurnished,6,10,6,Any,0,0,1,1,1,1,0,2.9,1.8,31500
Bellandur,2,920,Unfurnished,0,5,6,Any,1,0,1,1,1,1,0,3.6,1.1,28500
Koramangala,2,906,Fully Furnished,2,5,20,Any,1,1,1,0,1,1,0,1.1,1.9,67000
Marathahalli,2,910,Fully Furnished,0,3,15,Family,0,0,1,1,1,0,0,3.5,0.4,25500
Mahadevapura,2,949,Fully Furnished,3,10,6,Bachelor,0,0,1,0,0,1,0,3.2,1.6,21000
Hennur,2,1057,Unfurnished,20,20,6,Any,1,0,0,1,0,0,0,4.4,6.9,15500
BTM Layout,1,461,Fully Furnished,2,7,6,Any,1,1,1,1,0,0,1,2.6,2.6,24500
Electronic City,1,597,Semi-Furnished,0,7,10,Family,0,0,0,1,1,0,0,5.9,0.7,10000
Indiranagar,2,841,Unfurnished,2,3,15,Any,0,0,1,1,1,1,1,0.5,2.9,46500
Electronic City,3,1407,Fully Furnished,0,20,6,Family,0,0,1,0,0,1,0,5.2,0.4,27000
Indiranagar,2,863,Semi-Furnished,0,15,1,Family,1,1,1,1,1,0,0,0.5,4.4,56500
JP Nagar,2,1143,Unfurnished,3,7,10,Bachelor,0,0,1,1,1,0,0,3.5,5.7,18500
Mahadevapura,2,1028,Semi-Furnished,4,5,3,Any,1,0,1,0,1,1,1,2.7,1.7,29500
Sadashivanagar,3,1353,Unfurnished,2,5,20,Bachelor,1,0,1,1,1,1,0,3.7,6.0,71000
Vasanth Nagar,3,1399,Fully Furnished,7,10,3,Bachelor,0,0,0,1,1,1,0,1.0,3.4,108500
Bellandur,2,1064,Semi-Furnished,2,10,1,Any,0,0,0,1,1,0,0,4.3,1.3,26000
Bellandur,2,1292,Fully Furnished,2,3,6,Family,0,1,0,0,1,1,0,4.0,1.6,30000
Whitefield,3,1082,Unfurnished,7,10,10,Bachelor,1,0,0,0,0,0,0,4.7,1.8,31500
Sarjapur Road,2,1098,Semi-Furnished,3,3,3,Family,1,0,1,1,0,0,0,3.8,1.4,28500
Marathahalli,2,1047,Semi-Furnished,4,5,1,Family,1,0,1,0,1,1,0,3.5,1.3,30000
HSR Layout,1,626,Semi-Furnished,3,3,6,Any,0,0,1,0,0,0,0,2.7,1.9,19500
BTM Layout,3,1493,Semi-Furnished,7,7,10,Any,0,0,0,1,0,0,0,2.6,2.4,35000
Jayanagar,3,1426,Fully Furnished,1,3,15,Bachelor,0,0,0,1,1,0,0,1.7,4.9,55500
Bannerghatta Rd,1,506,Fully Furnished,10,20,6,Any,0,0,0,0,1,1,0,3.5,5.4,17500
Whitefield,2,1086,Fully Furnished,8,20,1,Family,0,1,1,0,1,0,0,4.7,0.5,31000
JP Nagar,2,1121,Fully Furnished,1,10,6,Family,0,0,0,1,1,1,1,3.0,6.6,23500
Banashankari,1,509,Fully Furnished,10,20,6,Bachelor,0,0,0,0,1,1,0,3.7,6.1,14500
Bannerghatta Rd,3,1339,Semi-Furnished,1,10,10,Family,0,0,0,0,1,0,0,4.6,4.0,18500
Sadashivanagar,1,549,Fully Furnished,12,15,20,Family,0,0,1,1,1,0,0,3.5,5.1,31500
Whitefield,1,501,Semi-Furnished,5,15,15,Bachelor,0,1,1,0,0,0,0,4.2,0.6,17000
Marathahalli,2,1052,Semi-Furnished,6,7,3,Family,0,1,0,1,0,1,1,4.2,1.4,30000
Whitefield,2,811,Semi-Furnished,7,7,1,Family,0,0,0,1,0,0,0,4.4,0.3,37000
Koramangala,1,518,Semi-Furnished,15,20,6,Bachelor,0,1,1,1,0,1,0,1.3,3.4,31000
Hennur,2,889,Unfurnished,0,10,6,Bachelor,1,0,0,0,0,1,0,4.7,7.0,15500
Bannerghatta Rd,2,859,Fully Furnished,3,5,10,Any,0,0,0,0,1,0,0,3.5,5.0,17000
Marathahalli,1,491,Semi-Furnished,4,7,1,Bachelor,0,0,0,1,0,0,1,4.4,1.1,16000
Sarjapur Road,1,458,Unfurnished,8,10,10,Bachelor,0,0,1,0,0,0,0,3.7,1.1,14000
Bannerghatta Rd,2,878,Semi-Furnished,2,3,6,Any,0,0,1,0,0,1,0,4.3,4.4,16500
Sarjapur Road,2,824,Unfurnished,2,10,15,Any,1,0,0,0,0,1,0,4.3,1.5,18000
Sadashivanagar,3,1528,Unfurnished,0,7,6,Family,0,0,1,0,1,1,1,3.4,6.0,72000
Whitefield,3,1333,Unfurnished,1,5,3,Family,0,0,0,0,1,1,0,4.7,0.2,36000
Whitefield,3,1496,Semi-Furnished,2,7,6,Any,0,0,0,1,0,0,0,4.1,0.4,50000
JP Nagar,2,800,Semi-Furnished,7,7,6,Bachelor,0,0,0,0,0,0,0,3.3,4.3,24000
Bellandur,3,1438,Fully Furnished,5,5,3,Any,1,0,0,1,0,1,0,3.4,0.5,43500
Bannerghatta Rd,2,1069,Fully Furnished,7,10,6,Any,1,0,0,0,0,1,0,3.6,4.0,24000
Bannerghatta Rd,2,978,Semi-Furnished,3,5,10,Bachelor,1,0,0,0,0,0,0,3.8,4.8,20000
Banashankari,1,688,Semi-Furnished,2,3,3,Any,0,0,1,0,0,0,1,3.8,6.7,19000
Indiranagar,1,590,Semi-Furnished,3,3,3,Bachelor,0,0,1,1,1,1,1,0.4,3.3,32000
Attibele,2,819,Fully Furnished,2,5,1,Family,0,0,0,0,1,0,0,7.9,3.1,19500
Electronic City,2,802,Unfurnished,3,5,3,Any,0,0,0,0,0,1,0,5.3,0.2,17500
Indiranagar,1,486,Unfurnished,2,7,1,Family,1,1,1,1,1,1,1,1.1,4.0,34000
Bannerghatta Rd,2,943,Fully Furnished,4,7,15,Any,0,0,0,0,1,1,0,4.5,4.8,19500
Hennur,2,748,Semi-Furnished,3,3,6,Any,0,0,1,1,0,0,0,4.7,7.1,17000
Marathahalli,2,978,Unfurnished,0,5,6,Any,0,0,0,0,0,0,0,3.5,0.9,20500
Whitefield,2,765,Unfurnished,3,7,15,Bachelor,0,1,0,1,1,0,0,4.3,1.0,18500
JP Nagar,3,1403,Fully Furnished,2,3,15,Bachelor,0,1,1,1,1,0,0,3.3,5.3,39500
Koramangala,3,1273,Fully Furnished,5,10,3,Family,1,1,1,1,1,1,0,1.2,2.3,87000
BTM Layout,2,836,Fully Furnished,2,3,6,Family,0,0,1,0,1,1,0,2.2,2.4,42500
Electronic City,2,906,Semi-Furnished,5,10,6,Bachelor,0,0,0,1,1,0,0,5.4,0.2,14500
Koramangala,2,879,Semi-Furnished,3,3,10,Any,0,1,1,0,1,0,1,1.3,1.8,49500
BTM Layout,3,1343,Fully Furnished,2,10,10,Any,1,1,0,1,1,0,1,2.5,2.9,56000
JP Nagar,2,1105,Fully Furnished,9,10,1,Family,0,0,1,1,0,1,0,3.3,6.4,33500
Marathahalli,1,580,Unfurnished,2,7,1,Bachelor,1,0,0,1,1,0,0,3.2,1.1,14000
Bannerghatta Rd,1,414,Fully Furnished,0,10,6,Any,0,0,0,0,0,0,0,4.4,4.0,12000
BTM Layout,2,1024,Unfurnished,2,5,3,Bachelor,0,0,1,1,0,1,1,2.3,1.8,20000
BTM Layout,2,966,Unfurnished,1,7,6,Bachelor,0,0,1,1,1,0,1,2.2,2.7,26500
Bellandur,3,1266,Semi-Furnished,2,3,6,Any,0,0,0,0,0,0,0,3.6,0.8,35000
Banashankari,1,676,Semi-Furnished,1,3,1,Any,0,0,0,0,1,1,0,3.9,6.0,14500
Vasanth Nagar,2,1054,Fully Furnished,5,5,15,Bachelor,1,0,1,0,0,0,0,1.7,5.3,49500
Banashankari,3,1285,Unfurnished,15,15,10,Any,1,0,0,0,0,1,0,3.8,5.5,19000
Sadashivanagar,3,1304,Semi-Furnished,1,7,3,Family,1,0,0,1,0,0,0,3.2,6.1,105000
Jayanagar,2,858,Fully Furnished,0,7,6,Any,1,0,1,1,1,0,0,1.6,4.4,40500
Yelahanka,2,1016,Fully Furnished,3,5,6,Family,1,0,0,1,1,1,0,3.9,7.8,23500
JP Nagar,2,1004,Unfurnished,3,5,15,Family,1,0,0,0,1,0,0,2.7,4.9,20000
Bannerghatta Rd,3,1198,Semi-Furnished,3,5,20,Any,0,0,0,0,0,1,0,4.0,4.0,20500
BTM Layout,1,489,Semi-Furnished,12,15,10,Family,0,0,0,1,0,1,0,2.2,2.8,14000
Whitefield,3,1389,Unfurnished,7,7,15,Any,0,0,1,1,1,1,0,4.2,0.2,41000
Whitefield,2,892,Fully Furnished,7,7,10,Any,1,0,1,1,1,1,1,4.2,0.6,39000
Koramangala,2,1046,Fully Furnished,11,15,3,Any,0,0,1,1,1,1,0,1.4,3.1,46500
Sarjapur Road,1,458,Unfurnished,6,10,6,Any,0,1,0,1,1,1,0,4.4,2.0,17000
Jayanagar,2,811,Unfurnished,4,7,6,Family,1,0,1,1,0,1,0,1.7,5.7,35000
Begur,2,1037,Unfurnished,0,7,15,Any,1,0,0,0,1,0,0,5.1,3.9,11500
Sadashivanagar,1,512,Fully Furnished,0,3,10,Family,1,1,1,1,0,1,0,3.4,6.6,41000
JP Nagar,2,1015,Unfurnished,1,5,20,Bachelor,1,0,1,1,0,0,0,3.3,6.1,21000
Indiranagar,3,1346,Semi-Furnished,3,3,1,Any,1,0,0,1,1,1,0,1.2,3.7,79500
Attibele,2,986,Semi-Furnished,10,20,10,Family,0,0,0,0,0,0,0,8.1,2.5,11500
Marathahalli,2,1025,Semi-Furnished,5,7,15,Bachelor,0,1,1,1,1,1,0,3.9,0.7,30500
Whitefield,1,507,Unfurnished,0,7,6,Bachelor,1,1,0,1,1,1,0,4.3,1.1,20000
Koramangala,2,912,Unfurnished,3,3,10,Bachelor,0,0,0,1,0,0,0,1.4,1.6,34000
Bellandur,1,598,Fully Furnished,1,5,3,Any,0,0,0,1,0,1,0,3.8,1.7,22000
Jayanagar,2,1042,Fully Furnished,3,5,3,Family,0,1,0,0,1,0,0,1.5,5.3,43000
Hennur,3,1487,Fully Furnished,0,7,1,Bachelor,0,0,0,1,0,0,0,4.6,7.5,22000
Jayanagar,2,1121,Unfurnished,3,5,6,Any,0,0,1,0,1,0,1,1.6,5.1,26500
Jayanagar,1,610,Semi-Furnished,5,10,3,Bachelor,1,0,1,0,1,0,1,1.4,4.2,23000
Koramangala,2,819,Semi-Furnished,4,5,15,Family,0,0,0,1,1,0,0,1.7,1.7,47000
Yelahanka,2,866,Unfurnished,3,7,15,Bachelor,1,1,0,0,0,0,0,4.3,7.5,17000
Marathahalli,2,911,Fully Furnished,9,20,6,Family,1,1,1,1,1,0,0,3.8,0.6,35500
Koramangala,3,1272,Semi-Furnished,2,15,6,Family,1,0,0,1,1,0,0,1.1,2.6,69500
Mahadevapura,3,1560,Unfurnished,0,7,15,Any,0,1,0,1,0,0,0,2.6,0.5,22000
Banashankari,2,1279,Fully Furnished,2,7,20,Bachelor,0,0,1,0,0,0,0,3.4,6.2,27000
Marathahalli,2,958,Fully Furnished,7,7,20,Any,1,0,1,0,1,1,0,3.3,0.7,38500
Banashankari,2,948,Unfurnished,1,7,3,Any,0,0,0,1,0,0,0,3.7,6.2,14000
JP Nagar,1,523,Semi-Furnished,5,7,6,Any,0,1,0,1,1,1,0,3.0,5.7,19500
Marathahalli,2,941,Semi-Furnished,5,7,6,Family,0,0,0,0,1,1,0,3.5,1.4,29000
Sadashivanagar,2,956,Semi-Furnished,7,7,20,Bachelor,0,0,1,1,1,1,0,3.7,6.2,58500
Jayanagar,2,1027,Unfurnished,2,3,3,Family,0,0,1,0,1,0,0,1.4,5.8,25500
Hennur,2,1089,Semi-Furnished,0,10,6,Any,0,1,0,1,0,1,0,4.6,7.7,18500
Bannerghatta Rd,1,549,Fully Furnished,2,7,3,Family,0,0,0,0,1,0,0,3.9,4.5,14000
BTM Layout,2,1157,Semi-Furnished,3,3,20,Family,0,0,0,1,1,1,0,2.5,3.3,26500
HSR Layout,1,577,Unfurnished,2,5,10,Bachelor,0,0,1,1,1,0,1,2.6,0.9,18500
Whitefield,1,646,Semi-Furnished,6,7,6,Family,1,0,1,0,1,1,0,4.8,1.0,21500
JP Nagar,3,1754,Semi-Furnished,0,7,6,Family,0,0,1,1,1,0,0,3.2,5.3,30500
Koramangala,1,602,Fully Furnished,7,7,6,Bachelor,1,0,0,1,0,1,0,1.6,2.4,33000
Sadashivanagar,2,750,Semi-Furnished,15,15,6,Family,1,0,1,0,1,1,1,3.7,7.1,69000
Bellandur,1,512,Unfurnished,13,15,15,Family,0,0,1,1,0,0,1,4.1,1.1,18000
Sarjapur Road,3,1533,Unfurnished,0,10,3,Family,1,1,1,1,1,0,0,3.6,1.8,39000
Koramangala,2,1099,Fully Furnished,13,20,10,Any,0,0,0,0,1,1,0,1.6,1.9,50500
Vasanth Nagar,1,517,Unfurnished,1,3,20,Bachelor,0,1,0,1,0,1,1,1.0,3.7,25000
HSR Layout,2,934,Fully Furnished,1,5,10,Bachelor,1,0,1,1,1,0,0,2.8,2.5,38500
Sarjapur Road,2,984,Unfurnished,2,7,3,Bachelor,0,0,0,0,1,1,0,4.3,0.2,21000
Koramangala,3,1576,Semi-Furnished,9,15,6,Family,0,1,1,1,1,1,0,1.3,2.4,83000
Indiranagar,1,577,Semi-Furnished,1,3,6,Any,0,0,1,1,1,1,0,0.8,4.1,31500
Mahadevapura,3,1489,Fully Furnished,6,7,10,Family,1,1,1,0,0,1,0,3.0,1.0,40500
Jayanagar,3,971,Fully Furnished,20,20,10,Any,0,0,0,0,0,0,0,1.3,5.0,56000
Sarjapur Road,3,1434,Unfurnished,3,7,6,Any,1,0,1,1,0,1,0,3.4,1.2,39000
HSR Layout,2,1016,Semi-Furnished,9,10,6,Any,0,0,1,1,1,1,0,2.1,2.0,38000
Indiranagar,2,976,Unfurnished,6,10,20,Family,1,1,1,1,1,0,0,0.7,3.6,37500
HSR Layout,2,964,Semi-Furnished,4,7,15,Family,0,1,0,1,0,0,0,2.8,1.5,29500
Bellandur,3,1225,Semi-Furnished,2,3,15,Any,0,0,1,1,0,0,0,4.0,2.2,28500
Electronic City,2,749,Fully Furnished,2,7,10,Family,0,0,1,0,1,0,0,5.0,0.2,17000
Electronic City,2,901,Fully Furnished,4,7,10,Any,0,0,0,0,0,1,0,5.4,0.9,20500
JP Nagar,2,1105,Semi-Furnished,6,20,20,Any,1,0,1,0,0,1,0,3.1,5.7,19000
Sarjapur Road,2,1140,Semi-Furnished,3,5,3,Any,0,1,0,0,1,0,0,3.4,1.0,29000
Jayanagar,3,1307,Fully Furnished,2,3,15,Family,1,0,0,1,1,1,0,1.6,5.2,58000
HSR Layout,1,622,Fully Furnished,0,10,3,Any,0,0,1,0,1,0,0,2.8,2.5,19500
Hennur,3,1309,Unfurnished,10,10,6,Any,0,0,1,0,0,0,0,4.7,7.0,17500
Koramangala,2,836,Semi-Furnished,6,10,20,Any,1,1,0,0,0,0,1,1.3,2.3,50000
Indiranagar,3,1514,Semi-Furnished,1,3,10,Family,0,0,1,1,0,1,0,0.2,3.3,77000
Jayanagar,2,1191,Unfurnished,0,5,10,Family,1,0,1,1,0,1,0,1.3,4.7,30000
Koramangala,2,1095,Unfurnished,9,10,10,Family,1,1,1,0,0,1,0,1.0,2.2,44000
Jayanagar,3,1355,Unfurnished,3,5,10,Family,0,0,1,0,0,1,0,1.6,5.0,30500
Whitefield,2,1135,Semi-Furnished,6,7,15,Bachelor,1,0,0,0,0,0,0,4.7,0.8,27500
JP Nagar,3,1278,Unfurnished,0,10,20,Any,0,0,1,1,0,0,0,2.7,5.9,24500
Hennur,2,975,Unfurnished,2,3,15,Family,0,0,1,0,1,0,1,4.7,6.5,15500
Electronic City,2,896,Unfurnished,15,15,3,Any,0,0,0,1,0,0,0,5.0,0.2,16000
BTM Layout,2,1071,Fully Furnished,7,7,3,Family,1,0,0,1,0,0,0,2.5,2.9,38000
HSR Layout,2,978,Fully Furnished,0,3,15,Family,0,1,0,0,1,0,0,2.6,1.4,29500
BTM Layout,2,967,Semi-Furnished,0,3,3,Family,0,0,0,1,1,1,1,2.2,2.1,31000
Whitefield,1,581,Semi-Furnished,2,7,15,Family,0,0,0,1,0,1,0,4.2,0.2,17000
HSR Layout,2,822,Fully Furnished,5,5,3,Any,0,1,1,1,1,1,0,2.3,2.2,47000
Whitefield,1,515,Unfurnished,0,7,3,Family,0,0,0,1,0,0,0,4.4,1.2,17000
JP Nagar,3,1290,Unfurnished,7,10,20,Bachelor,0,0,0,1,1,0,1,2.5,4.7,27500
Marathahalli,3,1554,Unfurnished,2,5,20,Bachelor,1,0,0,1,1,0,0,4.2,0.9,22500
Banashankari,2,968,Unfurnished,0,5,10,Any,0,1,1,1,1,1,0,3.5,5.3,19000
HSR Layout,2,850,Semi-Furnished,3,15,20,Family,0,0,0,1,0,1,1,2.5,1.6,33000
Bannerghatta Rd,2,787,Fully Furnished,4,7,1,Family,0,0,0,0,0,0,1,3.8,4.3,26500
Mahadevapura,2,862,Semi-Furnished,2,7,20,Family,0,0,0,1,0,1,1,3.3,1.2,17000
Sadashivanagar,3,1265,Semi-Furnished,0,7,6,Bachelor,1,0,1,1,1,1,0,3.2,5.7,93000
Hennur,3,1185,Fully Furnished,3,5,15,Family,0,1,1,1,1,0,0,4.5,7.4,30500
Yelahanka,2,669,Unfurnished,7,7,10,Any,0,0,0,1,1,0,0,3.9,7.6,14000
Hennur,3,1256,Unfurnished,3,3,15,Bachelor,1,1,0,0,0,0,0,4.3,6.7,19500
Mahadevapura,2,962,Semi-Furnished,4,10,6,Bachelor,1,1,1,0,1,1,0,3.3,1.1,27000
JP Nagar,3,1488,Semi-Furnished,3,3,6,Bachelor,1,0,1,1,0,1,0,3.0,4.8,31000
Koramangala,1,601,Unfurnished,12,15,3,Family,1,1,0,0,1,0,0,1.5,1.7,26500
HSR Layout,2,1108,Semi-Furnished,5,5,1,Bachelor,1,0,0,0,1,0,0,2.1,2.5,38500
Marathahalli,2,757,Semi-Furnished,3,5,20,Any,0,0,0,1,1,1,0,3.5,0.8,29000
Whitefield,2,981,Semi-Furnished,6,7,15,Any,1,0,1,1,1,0,0,4.4,0.2,35500
HSR Layout,1,544,Semi-Furnished,3,5,10,Any,0,0,0,1,1,1,1,2.6,1.6,23000
Indiranagar,3,1662,Semi-Furnished,3,5,10,Any,1,0,1,0,0,0,1,0.7,2.7,75500
Electronic City,1,551,Unfurnished,6,15,20,Family,0,0,0,0,0,0,0,5.3,0.2,10500
Attibele,2,999,Semi-Furnished,1,7,3,Family,0,0,0,1,0,0,0,7.9,2.5,10000
Marathahalli,1,539,Unfurnished,10,10,15,Family,1,0,0,1,1,1,0,3.3,0.2,19500
Jayanagar,2,797,Fully Furnished,4,5,1,Family,0,0,1,1,1,0,0,1.9,5.3,48500
HSR Layout,2,968,Semi-Furnished,2,7,6,Family,0,1,0,0,1,0,0,2.3,1.7,40000
Koramangala,2,994,Semi-Furnished,8,10,15,Bachelor,0,1,1,1,1,1,1,1.0,1.8,51500
Bannerghatta Rd,1,516,Fully Furnished,2,10,6,Any,0,0,0,1,0,0,1,4.4,3.7,18500
Indiranagar,1,479,Semi-Furnished,11,20,15,Any,1,1,1,1,1,0,1,1.0,3.5,33500
Whitefield,2,906,Semi-Furnished,3,7,6,Any,0,0,1,1,0,1,0,4.5,0.4,32500
HSR Layout,3,1507,Fully Furnished,2,3,15,Any,0,0,0,1,0,0,0,2.5,0.8,43500
Marathahalli,3,1502,Fully Furnished,4,15,15,Family,1,0,0,1,1,0,0,4.5,0.6,40000
Sarjapur Road,1,557,Semi-Furnished,6,20,6,Family,0,0,1,0,1,1,0,4.2,1.2,22500
Electronic City,2,930,Unfurnished,1,5,15,Any,1,0,1,1,0,0,0,5.4,0.2,15000
Jayanagar,1,693,Semi-Furnished,4,10,6,Family,0,1,1,0,1,1,0,1.2,4.6,23500
Koramangala,1,786,Fully Furnished,1,5,15,Family,1,0,1,1,0,0,0,1.2,1.8,27500
Indiranagar,2,917,Unfurnished,18,20,3,Family,0,1,1,0,0,0,1,0.6,4.1,57500
Bannerghatta Rd,2,1232,Unfurnished,7,10,10,Family,1,0,0,1,1,1,0,4.5,4.6,18500
Hennur,1,628,Fully Furnished,0,3,1,Bachelor,0,0,0,1,1,0,0,4.5,7.6,13000
Whitefield,1,590,Unfurnished,7,10,6,Bachelor,0,0,0,1,0,0,0,4.4,0.6,14000
Whitefield,1,571,Fully Furnished,4,5,1,Bachelor,1,1,0,1,1,0,0,4.4,0.7,23000
Sarjapur Road,3,1488,Semi-Furnished,18,20,15,Any,0,0,0,0,0,1,0,4.2,2.0,40500
Jayanagar,3,1310,Semi-Furnished,3,5,6,Family,1,0,1,1,1,1,0,1.2,5.7,46500
Bannerghatta Rd,1,612,Unfurnished,2,7,1,Family,0,0,1,1,0,0,0,3.9,5.2,10500
JP Nagar,1,453,Fully Furnished,12,20,20,Family,0,0,0,0,1,0,0,3.1,5.3,15500
JP Nagar,3,1416,Semi-Furnished,7,7,6,Family,0,1,1,1,1,1,0,3.3,5.3,40500
Marathahalli,3,1431,Semi-Furnished,5,5,10,Any,0,0,1,0,0,1,1,3.4,0.2,33000
Koramangala,2,1051,Semi-Furnished,12,15,10,Any,0,0,0,0,1,1,1,1.2,1.3,46500
Sadashivanagar,1,591,Fully Furnished,5,15,6,Any,1,0,1,1,1,1,1,3.3,4.9,36000
Bellandur,1,653,Fully Furnished,15,15,20,Family,0,1,0,1,1,0,0,3.9,0.9,22500
Indiranagar,2,933,Semi-Furnished,1,5,6,Bachelor,0,1,0,1,1,1,1,0.8,2.9,61500
Whitefield,2,801,Semi-Furnished,4,7,6,Bachelor,0,0,0,1,1,1,0,3.8,0.5,31000
HSR Layout,1,463,Fully Furnished,0,5,1,Bachelor,0,0,0,1,0,1,1,2.5,1.3,24500
JP Nagar,2,868,Semi-Furnished,2,5,10,Bachelor,1,0,0,0,0,0,0,2.9,5.5,21000
HSR Layout,1,515,Unfurnished,2,3,6,Bachelor,0,0,0,1,1,1,0,2.4,2.1,18000
BTM Layout,3,1357,Unfurnished,3,5,3,Bachelor,0,0,1,0,0,1,0,2.3,2.7,33500
Bellandur,2,1001,Fully Furnished,6,7,1,Any,0,0,1,0,1,1,0,4.0,0.5,31000
HSR Layout,1,660,Semi-Furnished,2,5,10,Family,1,0,0,1,0,0,0,2.5,1.9,19000
Marathahalli,2,995,Semi-Furnished,9,10,10,Any,0,0,1,0,0,0,0,3.3,0.4,27000
Yelahanka,2,1149,Semi-Furnished,1,7,6,Family,0,0,1,1,0,0,0,3.7,7.2,20000
Sarjapur Road,3,1428,Unfurnished,9,10,3,Family,0,0,1,0,0,1,1,4.1,1.5,34500
Bannerghatta Rd,2,889,Semi-Furnished,1,7,15,Any,1,0,0,1,0,0,0,4.0,3.5,17500
Bellandur,2,829,Unfurnished,1,3,6,Any,1,0,0,0,1,1,0,3.9,0.3,21500
Vasanth Nagar,2,1118,Semi-Furnished,1,5,15,Family,1,0,0,1,0,0,1,1.3,4.6,51000
Koramangala,2,915,Semi-Furnished,11,20,1,Bachelor,1,1,0,1,1,0,0,1.4,2.9,66500
HSR Layout,3,1224,Semi-Furnished,0,3,3,Family,0,0,0,1,1,0,0,2.8,1.7,42500
Whitefield,2,1055,Fully Furnished,3,7,3,Bachelor,0,0,1,1,0,0,0,4.3,1.0,29500
Koramangala,2,827,Fully Furnished,6,10,15,Any,1,0,1,1,1,1,1,1.2,1.8,61000
Yelahanka,1,578,Fully Furnished,0,7,3,Any,0,0,0,0,0,0,1,4.5,8.5,15500
Whitefield,2,1094,Unfurnished,5,7,10,Bachelor,0,0,1,1,1,1,0,4.5,0.2,27500
BTM Layout,3,1294,Unfurnished,6,10,6,Family,1,0,1,1,1,1,1,2.7,2.3,44000
Mahadevapura,3,1446,Semi-Furnished,4,5,6,Bachelor,0,0,1,1,0,1,1,3.3,2.4,38500
Indiranagar,1,586,Fully Furnished,3,7,10,Family,0,0,1,1,1,1,0,1.2,3.9,27000
Indiranagar,1,686,Fully Furnished,3,3,10,Any,0,0,0,1,1,1,0,0.6,2.9,41000
Bellandur,3,1261,Fully Furnished,5,7,1,Any,0,0,1,1,1,1,0,4.2,1.2,40000
Yelahanka,3,1844,Semi-Furnished,8,15,10,Bachelor,0,0,0,1,0,1,0,4.0,7.2,28500
Sarjapur Road,1,413,Semi-Furnished,1,5,10,Family,0,1,1,1,0,0,1,4.0,1.2,22000
Banashankari,2,850,Semi-Furnished,2,20,3,Family,1,0,1,1,1,0,1,3.1,5.5,22500
HSR Layout,2,876,Unfurnished,4,5,20,Family,1,1,0,1,0,1,0,2.6,2.7,30000
Electronic City,3,1275,Unfurnished,15,15,10,Any,0,0,1,0,0,0,0,5.1,1.1,19500
Mahadevapura,1,648,Fully Furnished,6,7,10,Bachelor,0,1,0,1,0,1,0,3.3,1.5,16000
Sarjapur Road,1,530,Unfurnished,10,10,1,Family,0,1,1,1,0,0,0,3.6,0.7,18500
HSR Layout,3,2103,Unfurnished,0,5,20,Bachelor,0,0,0,0,1,0,0,2.6,1.0,42000
Whitefield,1,625,Unfurnished,2,3,3,Any,1,1,0,1,0,0,1,4.2,0.8,22500
BTM Layout,2,1176,Fully Furnished,7,7,15,Family,0,0,1,1,1,1,1,2.2,2.1,28500
Indiranagar,2,687,Semi-Furnished,3,7,10,Any,1,1,1,0,1,0,0,0.8,3.6,59500
Bannerghatta Rd,2,1058,Semi-Furnished,1,5,1,Any,0,0,0,0,0,0,0,3.7,4.6,19500
Indiranagar,2,1058,Fully Furnished,0,3,10,Any,1,0,1,1,0,1,0,0.9,3.7,48000
Begur,2,982,Semi-Furnished,1,5,3,Family,1,1,1,1,1,0,0,5.1,3.0,17000
Banashankari,1,605,Semi-Furnished,2,3,10,Family,0,0,0,1,1,0,0,3.8,5.5,16000
Jayanagar,2,913,Unfurnished,5,15,3,Family,0,0,1,1,0,1,0,1.1,5.5,39000
Marathahalli,3,1688,Unfurnished,0,3,20,Family,0,1,1,1,0,0,0,3.5,0.7,26500
Hennur,3,1257,Fully Furnished,3,5,10,Family,0,0,0,0,0,0,0,4.0,6.8,24000
Bellandur,1,579,Fully Furnished,0,3,3,Bachelor,0,0,0,1,0,0,0,4.0,1.8,16000
Electronic City,1,427,Semi-Furnished,4,7,15,Bachelor,0,0,0,1,1,0,0,6.0,0.2,13000
Sarjapur Road,2,995,Semi-Furnished,4,7,10,Any,1,1,1,0,1,0,1,4.1,1.2,30500
Sarjapur Road,2,923,Semi-Furnished,4,7,10,Family,0,0,1,1,1,0,0,4.2,0.6,22500
Electronic City,2,1127,Unfurnished,8,10,15,Bachelor,0,0,0,0,0,1,0,5.8,0.2,11500
HSR Layout,2,795,Unfurnished,0,15,10,Any,0,0,1,1,0,1,0,2.7,1.6,29500
Yelahanka,1,702,Unfurnished,3,3,15,Any,0,1,1,0,0,1,0,3.9,7.7,11000
Vasanth Nagar,1,472,Unfurnished,5,5,20,Any,1,0,1,1,0,1,0,1.2,4.7,26500
Attibele,2,814,Fully Furnished,3,5,6,Any,1,0,1,1,0,0,0,8.5,1.8,16000
